Mean,540182.1588,,
Median,450000,,
StdDev,367353.733,,
upperQ,645000,,
LowerQ,321725,,
IQR,323275,,
1.5*IQR,484912.5,,
Upper IQR,1129912.5,,1129912.5
lower IQR,163187.5,,
,,,
outliers >,1159,,
